"zipcode","description","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","yearBuilt","latestPrice","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories","orig.id"
"78727","Large lot with mature trees. Updated attic insulation, recently installed water heater, hard wood floors and tile throughout. Energy efficient windows throughout. Convenient and close to major corporations, toll, Mopac, I-35, downtown train, bus stops, malls, fire/police stations, hospitals",2,"FALSE","TRUE","FALSE","TRUE",1975,341,"11",2018,22,"0",5,2,0,0,0,0,0,8742,1589,3.6,6.66666666666667,1486,15,2,3,1,"7682"
"78753","Cute and affordable home on cul de sac. House had recent install of HVAC system, ceramic tile flooring through out, large fenced yard, carport, and washer dryer connections.",1,"FALSE","TRUE","FALSE","FALSE",1959,110,"10",2018,27,"0",4,2,0,0,0,0,0,9191,914,0.966666666666667,3.33333333333333,832,13,1,3,1,"10555"
"78737","691 Harris Dr, Austin, TX 78737 is a single family home that contains 2,033 sq ft and was built in 2010. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $423,076. The Rent Zestimate for this home is $2,700/mo.",3,"TRUE","TRUE","FALSE","FALSE",2010,263.9,"10",2020,29,"0",3,2,2,2,0,1,0,8712,2033,4.3,6,777,16,2,3,1,"1941"
"78745","Hurry this one won't last long. Partial updating  includes: roof, siding , 200 amp electrical panel, 125 amp sub panel, appliances, CHCAC, interior and  exterior paint, wood floors, master bath and kitchen. Move in ready. Carpet is only in one room. This home has absolutely beautiful gardens and is ready for the next green thumb. Very private back yard with a cool secluded mystical space to hang and enjoy your morning coffee or evening beverages.Restrictions: Yes",1,"FALSE","TRUE","FALSE","FALSE",1971,305,"9",2020,53,"0",3,2,3,0,0,2,0,5967,1221,0.866666666666667,4,840,13,2,3,1,"5567"
"78748","This house shows well! The floors have been updated with laminate flooring, carpet in the bedrooms. Both bathrooms have been updated with tile throughout. Granite counters and tile back splash in the kitchen. Shaded deck in the back yard large tree.",0,"FALSE","FALSE","FALSE","FALSE",1984,260,"7",2018,22,"0",1,1,0,0,0,0,0,7056,1234,2,5.66666666666667,1537,16,2,3,1,"4249"
"78739","NEW PRICE! Enjoy life in this well-planned home on tree covered lot in Circle C. Dedicated office, open floor plan, soaring ceilings and family room. Hardwoods in dining, living, office and master, custom master closet. Amazing kitchen features huge island with an abundance of storage, excellent entertaining with outdoor kitchen and beautiful pool. Extensive upgrades throughout.",0,"TRUE","FALSE","FALSE","FALSE",2003,449,"2",2019,24,"0",7,1,0,0,0,0,0,8712,3372,1.7,8.66666666666667,1664,18,4,4,2,"11455"
"78702","Live in this dynamic east Austin neighborhood and enjoy easy access to Lady Bird Lake, Rainey Street Entertainment District, downtown, and UT Austin. I-35 and 183 are also nearby.  This walkable address will have you experiencing Austin in a whole different way. Update the main house and build a back apartment (ADU) up to 980 square feet. Enjoy gorgeous, mature pecan trees in the backyard. The possibilities are endless and the benefits to your quality of life are exponential.",2,"FALSE","TRUE","FALSE","TRUE",1942,465,"5",2018,1,"0",2,2,0,0,0,0,0,6534,912,1,4.66666666666667,992,14,1,2,1,"8328"
"78753","2-story home located in highly sought after neighborhood of Woodbridge. Features 4 beds, 2 baths with spacious great room with vaulted/beamed ceiling, built-ins & stone fireplace. Kitchen offers eat-in area, stainless steel appliances & abundant cabinetry. Large master with loads of natural light & updated bathroom with subway tile. Enjoy entertaining in the spacious screened-in porch or out in the beautiful backyard on the new cedar deck under mature shade trees. Minutes to downtown, shopping & dining.",0,"FALSE","FALSE","FALSE","TRUE",1977,350,"8",2019,27,"0",4,1,4,0,0,1,0,8668,1725,0.866666666666667,4,838,14,3,4,2,"3564"
"78759","MOVE-IN READY*Beautifully Maintained & Upgraded 2-Story/4-Bedroom/3.5-Bath Home w/Hardwood Floors, Plantation Shutters & Tankless Water Heater*Upgraded Kitchen w/Granite Counters & Stainless-Steel Appliances*Open Foorplan w/High Ceilings & Lots of Natural Light*Large Master Suite Downstairs w/Double Vanity & Garden Tub*Spacious Guestroom w/Ensuite Bath*2-Bedroom Suite Upstairs w/Full Bath & Study/Gameroom*Quiet Neighborhood*Walk to Great Hills Park*Close to Arboretum & Domain w/Easy Access to 183/Mopac.",2,"FALSE","TRUE","FALSE","FALSE",1992,500,"5",2018,34,"0",3,2,0,0,0,0,0,5924,2595,3.06666666666667,7,1523,17,4,4,2,"7488"
"78750","Fantastic opportunity in prime Northwest Austin being sold by long time owner. Excellent value for neighborhood with prime RRISD schools Westood HS, Canyon Vista Middle, and Spicewood Elementary.  Home is on large .37 irregular lot with plenty of room in backyard for pool. Three car side entry garage with extra parking is perfect for extra storage & a boat or RV. Gate also allows fence to open to backyard. Separate formal dining room off kitchen with breakfast area. Needs a little TLC price to sell as is.",0,"TRUE","FALSE","FALSE","FALSE",1981,419.9,"6",2019,30,"0",7,2,2,1,0,1,0,16117.2,2776,1.13333333333333,8.66666666666667,1632,16,3,4,2,"572"
"78745","8203 Avocet Dr, Austin, TX 78745 is a single family home that contains 1,462 sq ft and was built in 1986. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $411,060. The Rent Zestimate for this home is $1,985/mo.",2,"FALSE","TRUE","FALSE","FALSE",1986,334.9,"5",2019,1,"0",3,2,0,0,0,0,0,7405,1462,1.6,4,840,13,3,3,2,"4270"
"78737","151 Miss Ashley St, Austin, TX 78737 is a single family home that contains 2,557 sq ft and was built in 2010. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $506,739. The Rent Zestimate for this home is $2,700/mo.",5,"TRUE","TRUE","FALSE","FALSE",2010,439,"11",2020,79,"0",3,2,3,2,0,0,0,8712,2557,4.3,6,777,16,3,4,1,"3666"
"78751","Large level lot NOT in the flood plain. This is your chance to build your dream home in the incredibly popular North Loop neighborhood. The location can't be beat. House can be remodeled,as well. Great location near Lamar/2222/Crestview redevelopment area. Highland Mall ACC Campus within walking distance. Lots of great/hip coffee shops and restaurants nearby.",0,"FALSE","FALSE","FALSE","FALSE",2018,274.9,"7",2018,54,"0",4,1,0,0,0,0,0,5227,2286,0.833333333333333,7,1043,16,3,4,1,"9865"
"78737","Wow - single story dream home in Pool community w/ open concept and a kitchen to die for! Massive kitchen island can seat 6+ comfortably all while still being part of the party! This wonderful home features a media room, office, formal dining & private guest retreat. Spacious master w/ updated bath & HUGE master closet. **One of the largest lots in the neighborhood, enjoy the recently built, oversized TREX deck while drinking coffee as the sun rises over the greenbelt behind your new home! Truly a GEM!",0,"TRUE","FALSE","FALSE","FALSE",2014,569,"9",2018,31,"0",3,1,0,0,0,0,0,13939.2,3398,2.9,8,1655,18,3,4,1,"4129"
"78731","Wonderful one story on enormous lot in NWH.  All plumbing under house replaced in April 2018!  Flexible floor plan can be lived in or remodeled into a showplace.  400+  sq ft workshop, NOT IN TCAD, can be master suite or game room. Big kitchen, separate office, formal dining and lovely living room.  Cathedral ceilings in living, master, + workshop!  Recent interior doors + hardware.  Wood + tile flooring.  2 storage sheds.",4,"FALSE","TRUE","FALSE","FALSE",1968,699.999,"4",2018,32,"0",2,3,0,0,0,0,0,16117.2,2477,0.733333333333333,7,1483,16,3,4,2,"2523"
"78735","Beautiful one story on Travis country, 100k on upgrades. Walking distance to greenbelt, great school district. Outstanding wood  floors and floor plan. Dream bathroom and walk in closet on Master  . Energy efficient windows and new remote controlled skylights . Beautiful deck and gorgeous majestic 400 year- old live oak on backyard.",0,"TRUE","FALSE","FALSE","TRUE",1975,600,"8",2019,27,"0",3,1,2,2,0,1,0,11325.6,2214,3.46666666666667,5.66666666666667,1332,16,2,4,1,"5307"
"78754","*Beautiful single story w/many upgrades & character*Shows like a model!*Move-In Ready*laminate wood floors*granite counters in kitchen*black appliances*built in microwave*tile backsplash*Ref/Washer & Dryer Negotiable*recessed lighting*separate garden tub/shower*2"" blinds*ceiling fans in all bedrooms*covered backyard Stoned patio*sprinkler system in front/back yards*10 miles to Downtown*6 miles from the Domain*4 miles to HEB*5 miles to ACC NR campus*near Dell & Samsung*easy access to Hwy 183 & I-35*",0,"TRUE","FALSE","FALSE","FALSE",2010,175.63,"4",2019,30,"0",4,1,0,0,0,0,0,5749,1400,3.6,4.33333333333333,1066,12,2,3,1,"9630"
"78704","New construction in Zilker! Gorgeous new home walking distance to great south Lamar restaurants, exceptional schools, and close to downtown! Energy efficient appliances and high-end finish outs. Spring Move in!",4,"FALSE","TRUE","FALSE","FALSE",2019,1295,"5",2019,8,"0",9,2,0,0,0,0,0,11325.6,2678,1.33333333333333,6.66666666666667,1226,16,4,3,3,"12357"
"78744","This Huge Easton Park home sits on one of the largest lots of the community and faces the green belt.  Community center under construction for summer opening. Convenient location to both IH35 and HWY 183 makes the commute to Austin fast. The home also includes full sprinkler, established landscaping and seller-owner water softener.  Priced to sell now.",0,"TRUE","FALSE","FALSE","TRUE",2016,389.9,"7",2019,35,"0",7,1,2,2,0,1,0,9626,3319,3.06666666666667,3.66666666666667,1532,12,3,5,2,"91"
"78739","5819 Back Bay Ln, Austin, TX 78739 is a single family home that contains 2,443 sq ft and was built in 1994. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $525,692. The Rent Zestimate for this home is $2,950/mo.",2,"TRUE","TRUE","FALSE","FALSE",1994,485,"3",2020,1,"1",6,2,3,2,0,2,0,7884,2443,1.56666666666667,9,1755,18,2,3,1,"11253"
"78733","Completely restored beautiful colonial/victorian antique charm two-story home on huge gated lot in Austin Lake Hills!! 
Property has 3 bedrooms and 2 1/2 baths with downstairs study. Property has wood floors through out and tile in bathrooms. Updated kitchen with stainless steal appliances. Master bedroom has updated master bath. House has original 1920's character and features through out. Lot has beautiful trees, back deck, and raised flower beds. 
Property is near lake Austin, Hill Country Galleria, and 15 minutes to downtown Austin. Eanes ISD! Must see!!!",0,"TRUE","FALSE","FALSE","FALSE",1929,565,"7",2020,59,"0",4,1,1,0,0,0,0,13939.2,2442,3.9,8,1373,14,3,3,2,"1022"
"78748","Lovely 3 bedroom, 1 bath, two story home in quiet neighborhood in Southwest Austin. No through streets. New HVAC, bamboo floors, enormous closet in master. Laundry room upstairs adjacent to bathroom for conviniency. Wired for security system. Attached one car garage with remote. Privacy fenced backyard with covered patio and several established trees. Greenbelt down the street! Priced to sell at...Come see!",0,"TRUE","FALSE","FALSE","FALSE",2000,230,"11",2018,22,"0",3,1,0,0,0,0,0,4399,1350,1.93333333333333,5,1450,15,1,3,2,"10738"
"78748","With fantastic views of the Bauerle Ranch park and Slaughter Creek Greenbelt, this home is made for front-porch sitting.  With 3 bedrooms, 1 office & 2.5 baths, the home has an open floor plan that goes with the flow.  The spacious living room with fireplace is warm and welcoming with beautiful natural light.  The adjoining kitchen and dining area are refreshingly simple.  The kitchen has an efficient L-shaped layout with ample counter space, richly-toned wood cabinets, a stand-alone island, and large walk-in pantry/laundry room.  A butler's pantry with built-in storage is tucked just out of sight.  Upstairs you'll find a second living area, two secondary bedrooms, and a spacious owner's bedroom with in-suite bathroom featuring a garden tub, glass shower with subway tile surround, and dual sink vanity topped with marble counters.  With a park directly across the street, you can enjoy 300 acres of hike/bike trails.  Popular Valentina's BBQ and Moontower Saloon are nearby.",0,"TRUE","FALSE","FALSE","TRUE",2007,399,"5",2019,40,"0",4,1,0,1,0,1,0,9888,2443,1.8,5,1450,15,3,3,2,"10745"
"78746","New Roof and New Paint throughout! Fantastic, two-story home in Davenport Ranch across the street from the Austin Country Club Golf Course. EANES ISD Schools including Bridgepoint Elementary and Westlake High school. Large master bedroom downstairs with 3 extra bedrooms upstairs. Great private backyard with over a 1/3 of an acre. Covered Back Deck looks out over greenbelt behind the house!",2,"TRUE","TRUE","FALSE","FALSE",1985,789,"4",2018,23,"0",2,2,0,0,0,0,0,13939.2,2848,2.05,9,1669,15,3,4,2,"1147"
"78733","Stunning Eanes remodeled 4 bed, 3.5 bath just under 3000 sq ft home.  Almost too many upgrades to list.  Perfect for entertaining with walls taken down for open floor plan, down to studs kitchen remodel, huge backyard (with room for pool), & 3 separate decks.  Community allows for Lake Austin access, boat ramp, pool and park.  Nice sized bedrooms and even hill country views.  Not to mention spacious large lot!",3,"FALSE","TRUE","FALSE","TRUE",1994,524,"9",2020,55,"0",7,3,1,0,0,0,0,11325.6,2907,3.73333333333333,8,1373,14,4,5,2,"1995"
"78752","Call for a showing! This house will move fast.

Adorable Bungalow in the much desired Skyview neighborhood. The home retains it's natural charm with a modernized floor plan.

Renovated open kitchen featuring a custom 8' x 4' mahogany butcher block island. 

Energy upgrades: Anderson double paned windows, tankless water heater, new attic insulation (2016), radiant attic barrier, solar powered attic vent. 

Screened in back porch, raised garden bed, backyard shed, xeriscaped sport court, wood floors, fresh paint, and many more great features!
 

",1,"FALSE","TRUE","FALSE","TRUE",1954,424.9,"8",2018,27,"0",6,2,0,0,0,0,0,7535,1102,0.933333333333333,7,1043,16,1,3,1,"10412"
"78739","Welcome to this extremely rare, highly sought-after multi-level floorplan that was so difficult to build, the builder canceled it after a handful of examples were built. The home is built for entertaining or ease of family life with comfortable spaces and a LARGE utility room, HUGE master bedroom and a game room!  Everything is already done for you. Completely remodeled master bath, remodeled kitchen, tile through most of the home and high-end carpeting.  The private beck yard is complete with huge double-deck, hot tub, grill, fire pit and incredible privacy from the large Magnolia trees. Both A/C's are recent and the list goes on.  Mask up and no touch please.",4,"FALSE","TRUE","TRUE","TRUE",1995,559.9,"10",2020,40,"0",7,3,4,1,0,0,0,9069,2722,1.56666666666667,9,1755,18,3,4,1,"11356"
"78744","Great investment or move-in opportunity! This home has been well-maintained and is all ready to go. 3 beds/2 bath with an open floor plan, all tile floors and plenty of backyard space with two mature trees on the property. All appliances convey. Located just two blocks from Onion Creek Metro and in walking distance to Palm Elementary. Minutes from the grocery store, restaurants, shops, and I-35. Come check it out today!",2,"FALSE","TRUE","FALSE","FALSE",1982,220,"2",2019,29,"0",3,2,0,0,0,0,0,6621,1124,2.73333333333333,3.66666666666667,1369,15,2,3,1,"1880"
"78754","This house wonât last long!!  Fantastic single-story, 3-bedroom home with open floor plan, kitchen with Granite counters and SS appliances, family room & dining combo. Master Bath has dual sinks, separate shower/tub.  This home is on the corner with a huge backyard. Close to major employers like Samsung, GM and DELL.",2,"TRUE","TRUE","FALSE","FALSE",2015,242,"4",2019,28,"0",3,2,0,0,0,0,0,8755,1670,2.16666666666667,5,1049,11,2,3,1,"9737"
"78749","If you are interested in viewing the home please send us an inquiry and we will be in touch with you. Brand new cabinets, quartz countertops and large kitchen sink will make your time spent in the kitchen looking out into the greenbelt enjoyable. The master suite has a nice large room with a walk-in closet and an upgraded bathroom. The house backs up to a beautiful greenbelt and has a gate out the back fence with easy access to the trails. There are also two sheds in the backyard that can be used for storage or gardening tools.
Kandy Drive is not a through street so there is very little traffic down the road. It is directly perpendicular and an easy walk for middle schoolers to the Covington Middle School Fine Arts school. You'll also be close to a great HEB and Costco, plenty of shopping in Sunset Valley, and restaurants such as Lil Doddy's, Torchys, and Kerbey Lane.",0,"FALSE","FALSE","FALSE","TRUE",1982,269,"9",2019,24,"0",3,2,0,0,0,0,0,6534,1074,1.1,4.66666666666667,887,14,2,3,1,"4442"
"78741","1101 Vasquez St, Austin, TX 78741 is a single family home that contains 1,042 sq ft and was built in 1959. It contains 2 bedrooms and 1 bathroom. 
 
The Zestimate for this house is $400,092. The Rent Zestimate for this home is $1,700/mo.",0,"FALSE","FALSE","FALSE","FALSE",1959,347.9,"3",2019,25,"0",3,0,0,0,0,0,0,7056,1042,1.63333333333333,3.33333333333333,473,11,1,2,1,"3450"
"78737","Come visit The Clayson floor plan resale by David Weekly Homes. This unique find not only backs to a green belt, it also provides top of the line luxury packages. Bonus room upstairs with a half bath make for a great home theater! The kitchen alone will make you want to become a gourmet chef! Come see it now before it's too late!",0,"TRUE","FALSE","FALSE","TRUE",2013,475,"11",2019,21,"0",2,1,1,0,0,0,0,8929,3512,4.5,6,777,16,4,4,2,"3703"
"78732","Privacy!  This one story, move in ready house has a large fantastic covered back porch. Lot backs to a lovely GREENBELT.  Open floorplan, vaulted ceilings, neutral colored paint, wood laminate floor and neutral carpet.  Dedicated office/study with french doors.  Limestone exterior.  Washer and Dryer will convey with property. This 3 bedroom 2 bath house will appeal to many buyers.",2,"TRUE","TRUE","FALSE","TRUE",2006,415,"5",2019,26,"0",4,2,1,0,0,1,0,7840,2312,2.4,8.66666666666667,1533,17,2,3,1,"5012"
"78721","East Austin bungalow in the desirable 78721 zip w/charming covered porch entry & backyard oasis w/a spacious deck perfect for entertaining & trees that create privacy. Wood floors, open plan, large kitchen w/lots of counter space & cabinet storage, pantry, double sink vanity, large walk-in shower, his & hers master closets, & large backyard deck. Near Springdale & Givens District parks, Minutes to Mueller shops!",2,"FALSE","TRUE","FALSE","FALSE",2007,229.99,"5",2018,15,"0",7,2,0,0,0,0,0,5837,1512,2.13333333333333,3.33333333333333,635,13,2,3,1,"8920"
"78733","1107 Mayan Way, Austin, TX 78733 is a single family home that contains 2,842 sq ft and was built in 1996. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $765,529. The Rent Zestimate for this home is $3,500/mo.",0,"TRUE","FALSE","FALSE","FALSE",1996,600,"8",2018,1,"0",0,1,0,0,0,0,0,12196.8,2842,3.66666666666667,8,1373,14,3,4,2,"2038"
"78757","Stunning Mid Century Modern Home In The Heart Of Allandale * Spacious Updated Kitchen With Leuders Limestone Counters, Recent Stainless Appliances ( Including Venthood), and Cabinets ) * Cathedral Ceiling Family Room With Beautiful Stone Fireplace and Hearth * Remodeled Master Bath With Tiled Walk -In Shower * Cathedral Ceiling Master  * Updated Hall Bathroom *  Swimming Pool With Recent Pump * Towering Oak Trees * Updated Main Electrical Panel Box * Low E Windows and Sliding Doors *",2,"FALSE","TRUE","FALSE","FALSE",1963,645,"4",2019,40,"0",4,2,0,0,0,0,0,10149,1738,1.3,6.66666666666667,1153,16,2,3,1,"7010"
"78753","1603 Weatherford is located in the Enclave at Harris Ridge, a circle of homes unique to the area and that rarely come to market. Backing a large greenbelt, this David Weekley Home has an excellent open floorplan with master down, 4 bed/3.5 bath and a separate enclosed large office space or 5TH BEDROOM OPTION. Granite counters, high vaulted ceiling, game room, new vinyl plank flooring, upgraded stainless steel appliances, recent tile, recent water heater. Entire home freshly painted a neutral light grey! THREE massive storage spaces! Close to Tech Ridge Shopping and restaurants and major employers such as Samsung Austin Semiconductor, Dell, and General Motors. Get this one while it lasts!",0,"TRUE","FALSE","FALSE","TRUE",2006,325,"6",2019,29,"0",5,1,1,1,0,1,0,7187,2847,0.833333333333333,3,1108,14,4,4,2,"6707"
"78745","Gorgeous corner lot w/ a fabulous 300+ year old tree.  Stone exterior, welcoming front porch, single-story home w/ 3.5 car garage. The detached garage makes the perfect studio/shop or a premier home for a car enthusiast! Newer Anderson windows!. Fence was replaced & extra insulation added. Vaulted ceilings & cozy fireplace. Covered patio & deck. Room to put your personal touches on the interior. Home is nestled on a quiet street in Whispering Oaks & minutes from downtown. VERY desirable area in S. Austin!",3,"FALSE","TRUE","FALSE","FALSE",1972,320,"2",2018,22,"0",3,3,0,0,0,0,0,9104,1587,1.2,4,840,13,2,3,1,"6135"
"78745","No neighbors behind this home! Home features some recent updates to include, granite counter tops in kitchen, tile floors in baths, exterior paint, Roof replacement, larger 50 gallon water heater, and more.  Google fiber ready! Home tracks to well rated Bowie High school and easy access to Mopac, shopping and restaurants.  Large private yard.  Ceiling fans in bedrooms.  Very clean and move in ready!",0,"FALSE","FALSE","FALSE","FALSE",1993,305,"4",2019,22,"0",3,1,0,0,0,0,0,6490,1495,1,6.66666666666667,1460,16,3,4,2,"4283"
"78723","Fantastic 3 bedroom/2 bathroom home in the Windsor Park neighborhood! Huge backyard for gardening and enjoying the outdoors. Clean and bright and ready for immediate move-in! Pre-inspection report available. Seller will be replacing the roof prior to closing!",1,"FALSE","TRUE","FALSE","FALSE",1960,395,"7",2018,27,"0",4,2,0,0,0,0,0,10890,1342,1.26666666666667,2.33333333333333,656,14,2,3,1,"10245"
"78704","2 Blocks from the heart of SoCo. Open kitchen w/ select carrera counters, glass tile backsplash, sun-lit corner sink, stainless appliances, ample storage and wide breakfast bar. Light & open living/dining room w/ high ceilings, hardwood floors & french doors leading to courtyard. Office with private entrance is located off the entry. 2nd Floor master has stunning green onyx shower, double vanity, separate sitting area & spacious private deck. 2 covered parking accessed from alley. No HOA fees",2,"FALSE","TRUE","FALSE","FALSE",2007,799,"8",2019,22,"0",4,2,1,0,0,0,0,3484,2323,0.6,4.33333333333333,916,14,3,3,2,"8310"
"78756","Gorgeous 3 bedroom, 2.5 bath home in the highly coveted Rosedale neighborhood.  Newer build with 2,014 sq ft and attached two car garage.  Walking distance to Central Market, Stinson's Coffee, Tacodeli, Burnet Rd, Ramsey Park, etc.  Gleaming hardwood floors, open floorplan, updated lighting, brand new carpet, and a custom built backyard paradise make this home truly special.  Set back far from the street, this home is quiet and relaxing...feels like you are in a treehouse!  Hike/bike trail to downtown starts just down the street from it!",0,"FALSE","FALSE","FALSE","FALSE",1998,739,"6",2019,35,"0",3,1,0,0,0,1,0,7448,2014,2.03333333333333,6,1196,16,3,3,2,"13217"
"78750","Beautiful 4 bedroom oasis in a convenient central location to Downtown Austin, the Domain, shops, restaurants, and outdoor activities!  Top-Rated schools and neighborhood amenities (pool, tennis, playground).  This cul-de-sac home backs up to a peaceful greenbelt that can be enjoyed in a large screened in patio.  Features include a recently remodeled kitchen, updated red oak floors, a two year old roof, quality craftsmanship throughout the home, and a well-maintained and beautiful landscape.",0,"TRUE","FALSE","FALSE","TRUE",1993,675,"6",2019,40,"0",3,1,0,1,0,0,0,13068,2994,2.36666666666667,7,1523,17,3,4,2,"1407"
"78753","12417 Calibri Ln, Austin, TX 78753 is a single family home that contains 2,466 sq ft and was built in 2017. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $384,372. The Rent Zestimate for this home is $2,295/mo.",0,"TRUE","FALSE","FALSE","FALSE",2017,342.5,"8",2019,1,"0",4,1,1,0,0,0,0,5227,2466,1.2,3,1108,14,3,4,2,"6763"
