"X","name","ethnicity","call","city","quality"
158,"Allison","white","no","chicago","low"
159,"Ebony","black","no","chicago","high"
160,"Jermaine","black","no","chicago","low"
161,"Kristen","white","no","chicago","low"
162,"Latonya","black","no","chicago","low"
163,"Laurie","white","no","chicago","high"
164,"Laurie","white","no","chicago","high"
165,"Anne","white","no","chicago","low"
166,"Brendan","white","call","chicago","high"
167,"Kareem","black","no","chicago","high"
168,"Keisha","black","no","chicago","high"
169,"Matthew","white","call","chicago","low"
170,"Meredith","white","no","chicago","high"
171,"Tanisha","black","no","chicago","low"
172,"Tanisha","black","call","chicago","low"
173,"Aisha","black","no","boston","high"
174,"Allison","white","no","boston","low"
175,"Allison","white","no","boston","high"
176,"Anne","white","no","boston","low"
177,"Brendan","white","no","boston","low"
178,"Brett","white","no","boston","low"
179,"Brett","white","no","boston","high"
180,"Brett","white","no","boston","high"
181,"Ebony","black","no","boston","low"
182,"Geoffrey","white","no","boston","low"
183,"Jay","white","no","boston","high"
184,"Jill","white","no","boston","high"
185,"Keisha","black","no","boston","low"
186,"Keisha","black","no","boston","high"
187,"Kenya","black","no","boston","low"
188,"Kenya","black","no","boston","high"
189,"Lakisha","black","no","boston","low"
190,"Latoya","black","no","boston","low"
191,"Latoya","black","no","boston","high"
192,"Laurie","white","no","boston","high"
193,"Matthew","white","no","boston","low"
194,"Rasheed","black","no","boston","high"
195,"Sarah","white","no","boston","low"
196,"Sarah","white","no","boston","high"
197,"Tamika","black","no","boston","low"
198,"Tanisha","black","no","boston","high"
199,"Tanisha","black","no","boston","high"
200,"Tremayne","black","no","boston","low"
201,"Lakisha","black","call","chicago","high"
202,"Meredith","white","call","chicago","high"
203,"Anne","white","no","chicago","low"
204,"Latonya","black","no","chicago","high"
205,"Sarah","white","no","chicago","high"
206,"Tamika","black","no","chicago","low"
207,"Jill","white","no","chicago","high"
208,"Keisha","black","no","chicago","low"
209,"Lakisha","black","no","chicago","high"
210,"Meredith","white","no","chicago","low"
211,"Jill","white","call","chicago","high"
212,"Keisha","black","no","chicago","low"
213,"Lakisha","black","no","chicago","high"
214,"Meredith","white","no","chicago","low"
215,"Carrie","white","no","chicago","low"
216,"Greg","white","no","chicago","high"
217,"Kenya","black","no","chicago","low"
218,"Tremayne","black","no","chicago","high"
219,"Kenya","black","no","chicago","low"
220,"Neil","white","no","chicago","low"
221,"Emily","white","no","chicago","high"
222,"Jill","white","no","chicago","low"
223,"Latonya","black","no","chicago","low"
224,"Tanisha","black","no","chicago","high"
225,"Ebony","black","no","chicago","low"
226,"Kristen","white","no","chicago","high"
227,"Latonya","black","no","chicago","high"
228,"Laurie","white","no","chicago","low"
229,"Anne","white","no","chicago","low"
230,"Emily","white","no","chicago","high"
231,"Keisha","black","no","chicago","low"
232,"Tanisha","black","no","chicago","high"
233,"Allison","white","no","chicago","high"
234,"Kristen","white","no","chicago","low"
235,"Latonya","black","no","chicago","low"
236,"Tanisha","black","no","chicago","high"
237,"Aisha","black","no","chicago","low"
238,"Allison","white","no","chicago","low"
239,"Anne","white","no","chicago","low"
240,"Latonya","black","no","chicago","low"
241,"Latoya","black","no","chicago","high"
242,"Sarah","white","no","chicago","high"
243,"Aisha","black","no","chicago","high"
244,"Anne","white","no","chicago","low"
245,"Latoya","black","no","chicago","low"
246,"Laurie","white","no","chicago","high"
247,"Anne","white","no","chicago","low"
248,"Carrie","white","call","chicago","high"
249,"Ebony","black","no","chicago","low"
250,"Lakisha","black","no","chicago","high"
251,"Allison","white","no","chicago","high"
252,"Keisha","black","no","chicago","high"
253,"Kristen","white","no","chicago","low"
254,"Tanisha","black","no","chicago","low"
255,"Aisha","black","no","chicago","high"
256,"Emily","white","no","chicago","low"
257,"Latonya","black","no","chicago","low"
258,"Sarah","white","no","chicago","high"
259,"Geoffrey","white","no","chicago","high"
260,"Kareem","black","call","chicago","low"
261,"Kristen","white","no","chicago","low"
262,"Rasheed","black","no","chicago","high"
263,"Todd","white","no","chicago","low"
264,"Tyrone","black","no","chicago","low"
265,"Brendan","white","no","chicago","low"
266,"Jamal","black","no","chicago","low"
267,"Matthew","white","no","chicago","high"
268,"Meredith","white","call","chicago","high"
269,"Rasheed","black","no","chicago","high"
270,"Tremayne","black","call","chicago","high"
271,"Anne","white","call","chicago","high"
272,"Ebony","black","call","chicago","high"
273,"Kristen","white","call","chicago","low"
274,"Tamika","black","no","chicago","low"
275,"Aisha","black","no","chicago","high"
276,"Allison","white","no","chicago","low"
277,"Emily","white","no","chicago","high"
278,"Kristen","white","no","chicago","high"
279,"Latoya","black","no","chicago","high"
280,"Tamika","black","no","chicago","low"
281,"Aisha","black","no","chicago","low"
282,"Anne","white","no","chicago","high"
283,"Emily","white","no","chicago","low"
284,"Jill","white","no","chicago","low"
285,"Keisha","black","no","chicago","high"
286,"Lakisha","black","no","chicago","low"
287,"Ebony","black","no","chicago","low"
288,"Kenya","black","no","chicago","high"
289,"Kristen","white","no","chicago","low"
290,"Meredith","white","no","chicago","high"
291,"Aisha","black","no","chicago","low"
292,"Anne","white","no","chicago","low"
293,"Emily","white","no","chicago","low"
294,"Emily","white","no","chicago","high"
295,"Kenya","black","no","chicago","low"
296,"Latonya","black","no","chicago","high"
297,"Anne","white","no","chicago","low"
298,"Emily","white","no","chicago","high"
299,"Keisha","black","no","chicago","low"
300,"Tamika","black","no","chicago","high"
301,"Anne","white","no","chicago","low"
302,"Emily","white","no","chicago","high"
303,"Keisha","black","no","chicago","high"
304,"Kenya","black","no","chicago","low"
305,"Latoya","black","no","chicago","high"
306,"Neil","white","no","chicago","high"
307,"Aisha","black","no","chicago","low"
308,"Anne","white","no","chicago","high"
309,"Emily","white","no","chicago","low"
310,"Tamika","black","no","chicago","high"
311,"Carrie","white","no","chicago","low"
312,"Jill","white","no","chicago","low"
313,"Keisha","black","no","chicago","high"
314,"Latonya","black","no","chicago","low"
315,"Sarah","white","no","chicago","high"
316,"Tyrone","black","no","chicago","low"
317,"Carrie","white","no","chicago","high"
318,"Emily","white","no","chicago","low"
319,"Latoya","black","no","chicago","low"
320,"Tanisha","black","no","chicago","high"
321,"Aisha","black","no","chicago","high"
322,"Kristen","white","no","chicago","high"
323,"Lakisha","black","no","chicago","low"
324,"Laurie","white","no","chicago","low"
325,"Allison","white","no","chicago","high"
326,"Jill","white","no","chicago","low"
327,"Keisha","black","no","chicago","low"
328,"Kristen","white","no","chicago","high"
329,"Lakisha","black","no","chicago","high"
330,"Leroy","black","no","chicago","high"
331,"Brad","white","no","chicago","high"
332,"Keisha","black","no","chicago","high"
333,"Allison","white","no","chicago","high"
334,"Carrie","white","no","chicago","low"
335,"Latonya","black","no","chicago","high"
336,"Latoya","black","no","chicago","low"
337,"Carrie","white","no","chicago","low"
338,"Ebony","black","no","chicago","high"
339,"Latonya","black","no","chicago","low"
340,"Laurie","white","no","chicago","high"
341,"Meredith","white","no","chicago","high"
342,"Tremayne","black","no","chicago","high"
343,"Allison","white","no","chicago","low"
344,"Carrie","white","no","chicago","high"
345,"Lakisha","black","no","chicago","high"
346,"Tamika","black","no","chicago","low"
347,"Anne","white","no","chicago","low"
348,"Darnell","black","no","chicago","high"
349,"Greg","white","call","chicago","high"
350,"Tamika","black","no","chicago","low"
351,"Allison","white","no","chicago","high"
352,"Carrie","white","no","chicago","low"
353,"Kenya","black","no","chicago","high"
354,"Tremayne","black","no","chicago","low"
355,"Aisha","black","no","boston","low"
356,"Aisha","black","no","boston","low"
357,"Brad","white","no","boston","low"
358,"Brad","white","no","boston","high"
359,"Brendan","white","no","boston","low"
360,"Ebony","black","no","boston","high"
361,"Geoffrey","white","no","boston","high"
362,"Greg","white","no","boston","low"
363,"Greg","white","no","boston","high"
364,"Greg","white","no","boston","high"
365,"Hakim","black","no","boston","low"
366,"Jay","white","no","boston","low"
367,"Jermaine","black","no","boston","low"
368,"Kareem","black","no","boston","low"
369,"Kareem","black","no","boston","low"
370,"Latonya","black","no","boston","high"
371,"Leroy","black","no","boston","high"
372,"Meredith","white","no","boston","low"
373,"Sarah","white","no","boston","high"
374,"Sarah","white","no","boston","high"
375,"Tamika","black","no","boston","high"
376,"Tanisha","black","no","boston","high"
377,"Todd","white","no","boston","low"
378,"Tremayne","black","no","boston","high"
379,"Emily","white","no","boston","high"
380,"Kenya","black","no","boston","low"
381,"Latoya","black","no","boston","high"
382,"Sarah","white","no","boston","low"
383,"Carrie","white","call","boston","high"
384,"Jermaine","black","call","boston","low"
385,"Matthew","white","no","boston","low"
386,"Tyrone","black","no","boston","high"
387,"Allison","white","no","boston","low"
388,"Ebony","black","no","boston","high"
389,"Jay","white","call","boston","high"
390,"Tamika","black","no","boston","low"
391,"Anne","white","no","boston","low"
392,"Latonya","black","no","boston","high"
393,"Laurie","white","no","boston","high"
394,"Tanisha","black","no","boston","low"
395,"Ebony","black","no","boston","high"
396,"Jill","white","no","boston","low"
397,"Kristen","white","no","boston","high"
398,"Lakisha","black","no","boston","low"
399,"Carrie","white","no","boston","high"
400,"Jill","white","no","boston","low"
401,"Keisha","black","no","boston","low"
402,"Rasheed","black","no","boston","high"
403,"Allison","white","no","boston","low"
404,"Kenya","black","no","boston","high"
405,"Meredith","white","no","boston","high"
406,"Tamika","black","no","boston","low"
407,"Matthew","white","no","boston","low"
408,"Tremayne","black","no","boston","low"
409,"Ebony","black","no","boston","low"
410,"Emily","white","no","boston","low"
411,"Jill","white","no","boston","high"
412,"Tamika","black","no","boston","high"
413,"Darnell","black","no","boston","high"
414,"Emily","white","call","boston","high"
415,"Neil","white","no","boston","low"
416,"Tamika","black","no","boston","low"
417,"Latonya","black","no","boston","high"
418,"Laurie","white","no","boston","low"
419,"Sarah","white","no","boston","high"
420,"Tanisha","black","no","boston","low"
421,"Carrie","white","no","boston","high"
422,"Kareem","black","no","boston","low"
423,"Todd","white","no","boston","low"
424,"Tyrone","black","no","boston","high"
425,"Anne","white","no","boston","low"
426,"Jill","white","no","boston","high"
427,"Kenya","black","call","boston","low"
428,"Latoya","black","call","boston","high"
429,"Anne","white","no","boston","high"
430,"Ebony","black","no","boston","high"
431,"Emily","white","no","boston","low"
432,"Keisha","black","no","boston","low"
433,"Allison","white","no","boston","low"
434,"Kristen","white","no","boston","high"
435,"Lakisha","black","no","boston","low"
436,"Tanisha","black","no","boston","high"
437,"Brendan","white","no","boston","low"
438,"Laurie","white","no","boston","high"
439,"Rasheed","black","no","boston","high"
440,"Tyrone","black","no","boston","low"
441,"Jill","white","no","boston","low"
442,"Lakisha","black","no","boston","high"
443,"Matthew","white","call","boston","high"
444,"Tamika","black","no","boston","low"
445,"Aisha","black","no","chicago","high"
446,"Emily","white","no","chicago","high"
447,"Keisha","black","no","chicago","low"
448,"Sarah","white","call","chicago","low"
449,"Anne","white","no","chicago","high"
450,"Emily","white","no","chicago","low"
451,"Latoya","black","no","chicago","low"
452,"Tamika","black","no","chicago","high"
453,"Kenya","black","no","chicago","low"
454,"Kristen","white","no","chicago","high"
455,"Latonya","black","no","chicago","high"
456,"Laurie","white","no","chicago","low"
457,"Carrie","white","no","chicago","high"
458,"Jill","white","no","chicago","low"
459,"Keisha","black","no","chicago","high"
460,"Latoya","black","no","chicago","low"
461,"Emily","white","no","chicago","high"
462,"Kristen","white","no","chicago","low"
463,"Latoya","black","no","chicago","low"
464,"Tamika","black","no","chicago","high"
465,"Keisha","black","no","chicago","low"
466,"Kristen","white","no","chicago","low"
467,"Lakisha","black","no","chicago","high"
468,"Meredith","white","no","chicago","high"
469,"Allison","white","no","chicago","high"
470,"Lakisha","black","no","chicago","high"
471,"Meredith","white","no","chicago","low"
472,"Tanisha","black","no","chicago","low"
473,"Emily","white","call","chicago","low"
474,"Keisha","black","no","chicago","low"
475,"Latonya","black","call","chicago","high"
476,"Sarah","white","call","chicago","high"
477,"Aisha","black","call","chicago","high"
478,"Jill","white","call","chicago","high"
479,"Latonya","black","call","chicago","low"
480,"Sarah","white","call","chicago","low"
481,"Anne","white","no","chicago","low"
482,"Kenya","black","no","chicago","high"
483,"Latoya","black","no","chicago","low"
484,"Sarah","white","no","chicago","high"
485,"Allison","white","no","chicago","low"
486,"Keisha","black","no","chicago","high"
487,"Meredith","white","no","chicago","high"
488,"Tanisha","black","no","chicago","low"
489,"Anne","white","no","chicago","high"
490,"Carrie","white","no","chicago","low"
491,"Latonya","black","no","chicago","high"
492,"Tanisha","black","no","chicago","low"
493,"Allison","white","no","chicago","low"
494,"Anne","white","no","chicago","high"
495,"Ebony","black","no","chicago","high"
496,"Jill","white","no","chicago","low"
497,"Keisha","black","no","chicago","low"
498,"Lakisha","black","no","chicago","high"
499,"Latonya","black","no","chicago","low"
500,"Todd","white","no","chicago","high"
501,"Carrie","white","no","chicago","high"
502,"Meredith","white","no","chicago","low"
503,"Tamika","black","no","chicago","high"
504,"Tanisha","black","no","chicago","low"
505,"Aisha","black","no","chicago","high"
506,"Anne","white","no","chicago","low"
507,"Emily","white","no","chicago","high"
508,"Latonya","black","no","chicago","low"
509,"Aisha","black","no","chicago","low"
510,"Allison","white","no","chicago","low"
511,"Jill","white","no","chicago","high"
512,"Tamika","black","no","chicago","high"
513,"Anne","white","no","chicago","low"
514,"Ebony","black","no","chicago","low"
515,"Jill","white","no","chicago","high"
516,"Tamika","black","no","chicago","high"
517,"Carrie","white","no","chicago","low"
518,"Kenya","black","no","chicago","high"
519,"Sarah","white","no","chicago","high"
520,"Tanisha","black","no","chicago","low"
521,"Anne","white","no","chicago","low"
522,"Keisha","black","no","chicago","low"
523,"Allison","white","no","chicago","low"
524,"Latoya","black","no","chicago","high"
525,"Sarah","white","no","chicago","high"
526,"Tamika","black","no","chicago","low"
527,"Anne","white","no","chicago","low"
528,"Jill","white","no","chicago","high"
529,"Kenya","black","no","chicago","high"
530,"Lakisha","black","no","chicago","low"
531,"Jill","white","no","chicago","low"
532,"Keisha","black","no","chicago","low"
533,"Lakisha","black","no","chicago","high"
534,"Meredith","white","no","chicago","high"
535,"Aisha","black","no","chicago","low"
536,"Allison","white","no","chicago","low"
537,"Allison","white","no","chicago","low"
538,"Hakim","black","no","chicago","low"
539,"Sarah","white","no","chicago","high"
540,"Tamika","black","no","chicago","high"
541,"Aisha","black","no","chicago","high"
542,"Latoya","black","no","chicago","low"
543,"Laurie","white","no","chicago","low"
544,"Meredith","white","no","chicago","high"
545,"Aisha","black","no","boston","high"
546,"Allison","white","no","boston","high"
547,"Allison","white","no","boston","high"
548,"Allison","white","no","boston","high"
549,"Anne","white","no","boston","low"
550,"Brad","white","no","boston","high"
551,"Brendan","white","no","boston","high"
552,"Darnell","black","no","boston","low"
553,"Emily","white","no","boston","high"
554,"Geoffrey","white","no","boston","low"
555,"Greg","white","no","boston","low"
556,"Hakim","black","no","boston","low"
557,"Hakim","black","no","boston","high"
558,"Jay","white","no","boston","low"
559,"Jermaine","black","no","boston","high"
560,"Kareem","black","no","boston","high"
561,"Kenya","black","no","boston","low"
562,"Kenya","black","no","boston","low"
563,"Lakisha","black","no","boston","high"
564,"Latonya","black","no","boston","high"
565,"Meredith","white","no","boston","high"
566,"Neil","white","no","boston","low"
567,"Neil","white","no","boston","low"
568,"Rasheed","black","no","boston","high"
569,"Tamika","black","no","boston","low"
570,"Tanisha","black","no","boston","low"
571,"Todd","white","no","boston","low"
572,"Tremayne","black","no","boston","low"
573,"Brad","white","no","boston","high"
574,"Ebony","black","no","boston","low"
575,"Jamal","black","no","boston","high"
576,"Jay","white","no","boston","low"
577,"Ebony","black","call","boston","high"
578,"Emily","white","call","boston","low"
579,"Latonya","black","no","boston","low"
580,"Meredith","white","no","boston","high"
581,"Lakisha","black","no","boston","low"
582,"Latonya","black","no","boston","high"
583,"Laurie","white","call","boston","high"
584,"Meredith","white","no","boston","low"
585,"Darnell","black","no","boston","low"
586,"Geoffrey","white","no","boston","low"
587,"Kristen","white","no","boston","high"
588,"Tyrone","black","no","boston","high"
589,"Jill","white","no","boston","high"
590,"Latonya","black","no","boston","high"
591,"Sarah","white","no","boston","low"
592,"Tanisha","black","no","boston","low"
593,"Allison","white","call","boston","high"
594,"Ebony","black","no","boston","low"
595,"Lakisha","black","no","boston","high"
596,"Laurie","white","call","boston","low"
597,"Allison","white","no","boston","low"
598,"Emily","white","no","boston","high"
599,"Tamika","black","no","boston","high"
600,"Tanisha","black","no","boston","low"
601,"Allison","white","call","boston","low"
602,"Brett","white","no","boston","high"
603,"Jermaine","black","no","boston","low"
604,"Tanisha","black","no","boston","high"
605,"Aisha","black","no","chicago","low"
606,"Allison","white","no","chicago","high"
607,"Jill","white","no","chicago","low"
608,"Latonya","black","no","chicago","high"
609,"Carrie","white","no","chicago","high"
610,"Ebony","black","no","chicago","high"
611,"Latoya","black","no","chicago","low"
612,"Laurie","white","no","chicago","low"
613,"Carrie","white","no","chicago","high"
614,"Keisha","black","no","chicago","high"
615,"Latonya","black","no","chicago","low"
616,"Sarah","white","no","chicago","low"
617,"Allison","white","no","chicago","low"
618,"Ebony","black","no","chicago","low"
619,"Kenya","black","no","chicago","high"
620,"Sarah","white","no","chicago","high"
621,"Aisha","black","no","chicago","high"
622,"Jill","white","no","chicago","low"
623,"Kristen","white","no","chicago","high"
624,"Latonya","black","no","chicago","low"
625,"Anne","white","no","chicago","low"
626,"Ebony","black","no","chicago","low"
627,"Kristen","white","no","chicago","high"
628,"Latoya","black","no","chicago","high"
629,"Ebony","black","no","chicago","high"
630,"Jill","white","no","chicago","low"
631,"Sarah","white","no","chicago","high"
632,"Tamika","black","no","chicago","low"
633,"Emily","white","no","chicago","high"
634,"Keisha","black","no","chicago","low"
635,"Kenya","black","no","chicago","high"
636,"Sarah","white","no","chicago","low"
637,"Aisha","black","no","chicago","low"
638,"Ebony","black","no","chicago","high"
639,"Jill","white","no","chicago","high"
640,"Meredith","white","no","chicago","low"
641,"Anne","white","no","chicago","high"
642,"Emily","white","no","chicago","low"
643,"Latoya","black","no","chicago","low"
644,"Tamika","black","no","chicago","high"
645,"Allison","white","no","chicago","low"
646,"Emily","white","no","chicago","high"
647,"Kenya","black","no","chicago","high"
648,"Tamika","black","no","chicago","low"
649,"Allison","white","no","chicago","low"
650,"Carrie","white","no","chicago","high"
651,"Keisha","black","no","chicago","low"
652,"Lakisha","black","no","chicago","low"
653,"Laurie","white","no","chicago","low"
654,"Tanisha","black","no","chicago","high"
655,"Anne","white","no","chicago","low"
656,"Carrie","white","no","chicago","high"
657,"Keisha","black","no","chicago","low"
658,"Tamika","black","no","chicago","high"
659,"Allison","white","no","chicago","high"
660,"Latonya","black","no","chicago","low"
661,"Laurie","white","no","chicago","low"
662,"Tamika","black","no","chicago","high"
663,"Allison","white","no","chicago","low"
664,"Keisha","black","no","chicago","high"
665,"Meredith","white","no","chicago","high"
666,"Tanisha","black","no","chicago","low"
667,"Jill","white","no","chicago","low"
668,"Lakisha","black","no","chicago","high"
669,"Sarah","white","no","chicago","high"
670,"Tamika","black","no","chicago","low"
671,"Anne","white","no","chicago","high"
672,"Ebony","black","no","chicago","low"
673,"Sarah","white","no","chicago","low"
674,"Tanisha","black","no","chicago","high"
675,"Carrie","white","no","chicago","high"
676,"Keisha","black","no","chicago","high"
677,"Latonya","black","no","chicago","low"
678,"Sarah","white","no","chicago","low"
679,"Carrie","white","no","chicago","low"
680,"Latoya","black","no","chicago","high"
681,"Meredith","white","no","chicago","high"
682,"Tanisha","black","no","chicago","low"
683,"Allison","white","no","chicago","high"
684,"Ebony","black","no","chicago","high"
685,"Lakisha","black","no","chicago","low"
686,"Laurie","white","no","chicago","low"
687,"Kenya","black","no","chicago","low"
688,"Laurie","white","no","chicago","low"
689,"Jay","white","no","chicago","high"
690,"Keisha","black","no","chicago","high"
691,"Emily","white","no","chicago","low"
692,"Kenya","black","no","chicago","low"
693,"Sarah","white","no","chicago","high"
694,"Tanisha","black","no","chicago","high"
695,"Aisha","black","no","boston","low"
696,"Allison","white","no","boston","low"
697,"Allison","white","no","boston","high"
698,"Anne","white","no","boston","high"
699,"Brad","white","no","boston","high"
700,"Brad","white","no","boston","high"
701,"Brett","white","no","boston","high"
702,"Carrie","white","no","boston","low"
703,"Carrie","white","no","boston","high"
704,"Emily","white","no","boston","low"
705,"Jamal","black","no","boston","high"
706,"Jay","white","no","boston","low"
707,"Jay","white","no","boston","high"
708,"Jermaine","black","no","boston","low"
709,"Jill","white","no","boston","low"
710,"Kareem","black","no","boston","low"
711,"Kareem","black","no","boston","low"
712,"Kareem","black","no","boston","high"
713,"Keisha","black","no","boston","high"
714,"Latonya","black","no","boston","low"
715,"Latonya","black","no","boston","high"
716,"Latoya","black","no","boston","high"
717,"Laurie","white","no","boston","low"
718,"Leroy","black","no","boston","high"
719,"Neil","white","no","boston","high"
720,"Rasheed","black","no","boston","low"
721,"Sarah","white","no","boston","low"
722,"Sarah","white","no","boston","low"
723,"Tanisha","black","no","boston","low"
724,"Tanisha","black","no","boston","high"
725,"Tremayne","black","no","boston","high"
726,"Tyrone","black","no","boston","low"
727,"Kristen","white","no","boston","high"
728,"Latonya","black","no","boston","high"
729,"Sarah","white","no","boston","low"
730,"Tanisha","black","no","boston","low"
731,"Ebony","black","no","boston","high"
732,"Emily","white","no","boston","high"
733,"Lakisha","black","no","boston","low"
734,"Sarah","white","no","boston","low"
735,"Anne","white","call","boston","low"
736,"Latoya","black","call","boston","low"
737,"Meredith","white","no","boston","high"
738,"Tanisha","black","no","boston","high"
739,"Anne","white","no","boston","high"
740,"Hakim","black","no","boston","high"
741,"Jay","white","no","boston","low"
742,"Latoya","black","no","boston","low"
743,"Aisha","black","no","chicago","low"
744,"Emily","white","no","chicago","low"
745,"Jill","white","no","chicago","high"
746,"Keisha","black","no","chicago","high"
747,"Laurie","white","no","chicago","low"
748,"Tamika","black","no","chicago","low"
749,"Carrie","white","no","chicago","low"
750,"Lakisha","black","no","chicago","high"
751,"Latoya","black","no","chicago","low"
